"region","hbcu","tribal","urban","open","landGrant","associates","allDistance","partDistance","studyAbroad","weekend","remedial","counseling","dayCare","oncampusHousing","mealPlan","instateTuition","size","facultyRatio","grantAid","loanAid","minorityEnroll","placeEmploy","tuitionOptions"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",7766,"10-19,999",18,6918,7339,28,"Yes","Yes"
"SE","No","No","City:M","Yes","No","Yes","Yes","Yes","Implied no","Implied no","Implied no","Yes","Implied no","No","No",9960,"<1,000",10,4653,8472,36,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",9128,"5-9,999",16,7313,7342,16,"Yes","Yes"
"SE","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",10170,"20,000+",24,11878,6805,15,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",8700,"1-4,999",16,6396,7001,36,"Yes","Yes"
"SE","No","No","City:S","No","Yes","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",8808,"20,000+",19,8630,6796,10,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",31954,"1-4,999",13,25288,7145,13,"Yes","Yes"
"SE","No","No","City:M","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",16665,"<1,000",13,4979,6826,61,"Yes","Yes"
"SE","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",17500,"1-4,999",15,7638,7888,48,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",12320,"<1,000",14,3884,7651,54,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Implied no","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",21975,"1-4,999",14,17049,8076,25,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",8952,"<1,000",8,6676,5603,18,"Yes","Yes"
"SE","No","No","City:S","No","No","Implied no","No","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes","Yes",9000,"5-9,999",18,6297,6331,22,"Yes","Yes"
"SE","No","No","Rural:R","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",15774,"<1,000",9,18583,8146,17,"Yes","Yes"
